K,cluster,rank,distance_to_centroid,question_id,title,clean_text
10,0,1,1.7206205,2445823,"In Django, what is a one-to-one relationship?","in django, what is a one-to-one relationship? i've always been using foreignkeys."
10,0,2,2.1489708,17261551,"How can I use SQLAlchemy to do ""mysql explain""","how can i use sqlalchemy to do ""mysql explain"" i have a sql like: dbsession().query(model).filter(***) and i want to explain this sql using sqlalchemy."
10,0,3,2.1554174,4170031,"How do you do a ""hidden"" field in Django's forms.Form models?","how do you do a ""hidden"" field in django's forms.form models? lat = forms.floatfield() how do you make this hidden?"
10,0,4,2.1702797,3175925,best python lib to make the textarea safe in the web page when user submit,best python lib to make the textarea safe in the web page when user submit i want to clean some tag like :
10,0,5,2.1808488,6000205,How to get an app name using python in django,"how to get an app name using python in django if you are in the view and want to retrieve the app name using python ( the app name will be used for further logic ), how would you do it ?"
10,0,6,2.2819524,29070176,How do I see mongoengine built query?,how do i see mongoengine built query? how can i print the mongodb query i buid with mongoengine? example: queryset = document.objects(**query) print queryset.to_mongodb_query()
10,0,7,2.2874503,20304453,"How to use an ""or"" inside a filter","how to use an ""or"" inside a filter i want to make a search, but i need to bring the registers that have status canceled or modified. i thought that this would work but it didn't citasotras = citas_agendarcita.objects.filter(cita_agendar_status=""modificada"" or """",citas_tipodepaciente=""mediexcel"")"
10,0,8,2.2978907,1111173,How to build an Ecommerce Shopping Cart in Django?,how to build an ecommerce shopping cart in django? is there a book or a tutorial which teaches how to build a shopping cart with django or any other python framework ?
10,0,9,2.3070076,27952608,Django Rest Framework Localization,"django rest framework localization i was wondering, if is there any way to add localization to django-rest-framework api. because i want to change default message errors."
10,0,10,2.3155813,3635073,how to render to response?,how to render to response? i am sending list to a template using render_to_response. i am using django shortcuts. hoe to do that? how to set context instance with a variable?
10,1,1,1.8558637,13176533,How can I put a scrollbar in pygame?,"how can i put a scrollbar in pygame? i was wondering how can i put a scrollbar in a pygame window? please help, thanks"
10,1,2,2.0404012,37976477,How to use RoboBrowser to click a button,"how to use robobrowser to click a button how can i click a button with robobrowser? this is the html code: esporta selezionare i valori e premere ""filtra"""
10,1,3,2.0546079,14284492,How to change text cursor color in Tkinter?,how to change text cursor color in tkinter? i have a text widget with dark background and i can't see the cursor's position. is there any way to change the (blinking) text cursor's color?
10,1,4,2.1127172,25299624,QGraphicsRectItem move QGraphicsScene,"qgraphicsrectitem move qgraphicsscene this code URL draw a rectangle on the scene. when i move it, it does not move the cursor, and jumping somewhere. what am i doing wrong?"
10,1,5,2.1231804,12364981,How to delete Tkinter widgets from a window?,how to delete tkinter widgets from a window? i have a list of tkinter widgets that i want to change dynamically. how can i go about completely deleting the widgets from my window?
10,1,6,2.1527297,34157247,How to show ampersand (&) symbol in python?,"how to show ampersand (&) symbol in python? if i do: self.a= wx.button(self, -1, ""hi&hello"") i get button named: hihello it ignores the & symbol. how can i fix it?"
10,1,7,2.194362,11207368,Python Window-positioning?,python window-positioning? i tried to open a new window at the same position as another window. my code: window2.set_position(window1.get_position()) but it doesn't work.
