K,cluster,rank,distance_to_centroid,question_id,title,clean_text
10,0,1,3.6154044,35817605,Web scraping through cloudflare sites,web scraping through cloudflare sites is it possible to scrape websites through cloudflare protection? how can i bypass cloudflare using beautifulsoup?
10,0,2,4.6845765,33139230,Scrapy Spider cannot Extract contents of web page using xpath,"scrapy spider cannot extract contents of web page using xpath i have scrapy spider and i am using xpath selectors to extract the contents of the page,kindly check where i am going wrong"
10,0,3,5.0217133,16637735,python tornado get request url,"python tornado get request url here is my code: i want to get the string ""/story/page1"". how ?"
10,0,4,5.022868,4419532,What's the fastest way to strip certain html tags in a Python string?,what's the fastest way to strip certain html tags in a python string? i'd like to strip all html / javascript except for: thanks.
10,0,5,5.203441,31200648,Page Redirect in CGI using Python,page redirect in cgi using python i am trying to write a cgi script in python for a simple login page. i am trying to redirect this page to my home page on submit of username and password. can anyone help me to do this without manipulating the http headers. this is the code that i am using::
10,0,6,5.229516,32170913,scrapy:UnicodeDecodeError: 'ascii' codec can't decode byte 0xe9 in position 1: ordinal not in range(128),"scrapy:unicodedecodeerror: 'ascii' codec can't decode byte 0xe9 in position 1: ordinal not in range(128) when i use the accent parameter in the scrapy framework, my spider crashes with this error: here is my code:"
10,0,7,5.2670035,21512572,How to scrap the html data with same kind of tags,"how to scrap the html data with same kind of tags how would i extract the agency fee, bedrooms, and bathroom's info using beautiful soup in python. [here][1] is the webpage i am scrapping."
10,0,8,5.3541975,13409460,Error after upload website with app engine,error after upload website with app engine after i uploaded my website with app engine i got the following error message: does anyone know what is happening? thanks in advance for any help. americo
10,0,9,5.4398117,1417902,Sending cookies in a SOAP request using Suds,sending cookies in a soap request using suds i'm trying to access a soap api using suds. the soap api documentation states that i have to provide three cookies with some login data. how can i accomplish this?
10,0,10,5.4459815,4406102,light weight template engine for python,light weight template engine for python which is the simplest and light weight html templating engine in python which i can use to generate customized email newsletters.
10,1,1,4.4747467,38704037,What is the difference between Hypothesis Testing (Property Based Testing) and Mutation testing?,what is the difference between hypothesis testing (property based testing) and mutation testing? my context for this question is in python. hypothesis testing library: mutation testing library:
10,1,2,4.7989173,15147189,Class attr and methods,"class attr and methods with class attributes and methods, to reference them within the class, should we use classname. or self."
10,1,3,4.9989853,19569556,Python: call parent instancemethod,"python: call parent instancemethod for example, i have next code: bobydog is a child of dog and have overrided instancemethod ""bark"". how i can refer to parent method ""bark"" from instance of class ""bobydog""? in other words:"
10,1,4,5.109966,34884567,Python Multiple Inheritance passing arguments to constructors using super,"python multiple inheritance passing arguments to constructors using super consider the following snippet of python code i am wondering how can i pass , and to corresponding base classes' constructors. thanks,"
10,1,5,5.26016,15033409,Instantiating in Python - Not Callable,"instantiating in python - not callable i am trying to create a new object, but i receive the error in traceback: i've defined the class in the same file:"
10,1,6,5.47412,31917430,"Returning value when instance ""called""","returning value when instance ""called"" i want a certain function callable on a class. something similar to: which magic-function do i have to use?"
10,1,7,5.486852,17604316,Refer to own class in a static method,refer to own class in a static method is there a shorthand for referring to its own class in a static method? say i have this piece of code:
10,1,8,5.515359,23181442,How to hide/remove some methods in inherited class in Python?,how to hide/remove some methods in inherited class in python? i want to hide some public methods during inheritance from : how to do it in python if it possible?
10,1,9,5.6833987,35073940,Python reference variable in outer class,"python reference variable in outer class how can i assign a variable from an outer class to the inner? here is my best attempt: i am confused as to why this doesn't work, but python has no problem with this syntax:"
10,1,10,5.7600174,22403897,What does it mean by the 'super object returned is unbound' in python?,"what does it mean by the 'super object returned is unbound' in python? according to , if the second argument is omitted, the super object returned is unbound. which is super(type). i am wondering what is unbounded and when is it bounded."
10,2,1,4.2214556,5178535,easy_install libmysqld-dev error :'NoneType' object has no attribute 'clone',"easy_install libmysqld-dev error :'nonetype' object has no attribute 'clone' this is the error : what can i do, thanks"
10,2,2,4.4917316,34013932,import tidy ImportError: No module named tidy,"import tidy importerror: no module named tidy tried installing pytidylib , but it did not work. any idea which is the correct package to get tidy?"
10,2,3,4.5208364,30720760,How to install scipy misc package,how to install scipy misc package i have installed (actually reinstalled) scipy: but the misc subpackage is apparently not included? what is the way to install the scipy.misc package?
10,2,4,4.8575654,24944627,Installing pymatbridge,installing pymatbridge i'm using the canopy distribution and when i try to install pymatbridge using 'pip install pymatbridge' i get an error saying that pymatbridge does not work on win32. i've got the 64-bit version of canopy so i don't understand what that means.
10,2,5,4.935746,9526358,File not accesible error (setuptools) in logs,"file not accesible error (setuptools) in logs when i run my app, my app engine logs give me this error: can anyone help me figure out what this means?"
10,2,6,4.965438,20267264,ImportError when trying to import package pyRserve,importerror when trying to import package pyrserve i did an easy_install onto windows 7 of the pyrserve package but when i run i get the following import error. i'm using python 2.7.5. any suggestions?
10,2,7,4.9813614,28950669,Failed to load libGL.so when running Flask app on Heroku,failed to load libgl.so when running flask app on heroku i'm trying to run my flask application on heroku. after i run and get the following error. what does this it mean and how can i fix it? requirements.txt
10,2,8,5.014077,19311933,redhat 5.4 python-ldap run error (python2.7),"redhat 5.4 python-ldap run error (python2.7) i install python-ldap-2.4.13 to redhat5.4, and run then get error: how can i fix it? pls help, thanks very much!"
10,2,9,5.050568,34737206,How to launch a Window's shortcut using Python,"how to launch a window's shortcut using python i want to launch a shortcut named located at . i have tryed using:- but it failed, it only launches exe files."
10,2,10,5.0908637,36796887,virtualenv python broke after upgrading ubuntu 15.10 to 16.04,"virtualenv python broke after upgrading ubuntu 15.10 to 16.04 i had python 3.4 in my virtualenv, but after upgrading ubuntu to 16.04 python upgraded to 3.5 so python in virtualenv crashes with these errors: how can i fix it?"
10,3,1,3.943159,24785928,How to set Gtk.ScrolledWindow adjustment,how to set gtk.scrolledwindow adjustment how do i set the vertical adjustment for a gtk.scrolledwindow in python3? this is an example that demonstrates the problem.
10,3,2,4.0588207,18270623,How to load an image in kivy?,how to load an image in kivy? my code: .py file: .kv file: but only thing i have is a white screen
10,3,3,4.1847534,13176533,How can I put a scrollbar in pygame?,"how can i put a scrollbar in pygame? i was wondering how can i put a scrollbar in a pygame window? please help, thanks"
10,3,4,4.4165235,14284492,How to change text cursor color in Tkinter?,how to change text cursor color in tkinter? i have a text widget with dark background and i can't see the cursor's position. is there any way to change the (blinking) text cursor's color?
10,3,5,4.7326,22338927,Kivy - Adding widgets to a class,"kivy - adding widgets to a class i am trying to add a widget to a class but it is not working. example: when run, this does not work."
10,3,6,4.760068,11207368,Python Window-positioning?,python window-positioning? i tried to open a new window at the same position as another window. my code: but it doesn't work.
10,3,7,4.870495,22628076,WxPython windows does not popup,wxpython windows does not popup i've written the following snippet to display a simple window. it however neither does show the window nor reports any error:
10,3,8,5.056462,12364981,How to delete Tkinter widgets from a window?,how to delete tkinter widgets from a window? i have a list of tkinter widgets that i want to change dynamically. how can i go about completely deleting the widgets from my window?
10,3,9,5.1450706,33525279,Pyqtgraph: How do I plot an ellipse or a circle,pyqtgraph: how do i plot an ellipse or a circle i would like plot circles or ellipses in pyqtgraph gl.glviewwidget(). however i did not find a function to do that. anyone know the way to do that?
10,3,10,5.2191477,5916187,Python Tkinter application doesn't quit properly,"python tkinter application doesn't quit properly why doesn't this tkinter program end properly when i press the ""quit"" button?"
10,4,1,4.934958,4377038,CGI/Python server push,cgi/python server push is it possible to write a simple python script which handles real-time server pushing of data back to the client when data is available?
10,4,2,5.0361633,20936693,AttributeError: VerifiedHTTPSConnection instance has no attribute '_tunnel_host',attributeerror: verifiedhttpsconnection instance has no attribute '_tunnel_host' when executing many commands eg. the following error occurs there seems to be an error with the connection
10,4,3,5.437406,1423345,Can I run a Python script as a service?,can i run a python script as a service? is it possible to run a python script as a background service on a webserver? i want to do this for socket communication.
10,4,4,5.7983713,1841730,How can urllib2 / httplib talk HTTP 1.1 for HTTPS connections via a Squid proxy?,"how can urllib2 / httplib talk http 1.1 for https connections via a squid proxy? when i use urllib2 to make a http 1.1 connection via a squid proxy, squid makes a new ongoing connection in http 1.0. how can i persuade squid to talk 1.1 to the destination server?"
10,4,5,6.0612125,34967236,Python: UDP Proxy Multithreading,"python: udp proxy multithreading i just can't manage to add multithreading to my udp server. a second client can connect, but instantly gets thrown out of the server when someone is already connected to it. could this be caused by something other than singlethreading?"
10,4,6,6.1103144,992169,Which reactor should i use for qt4?,which reactor should i use for qt4? i am using twisted and now i want to make some pretty ui using qt
10,4,7,6.21322,4617987,Python Twisted Daemon,"python twisted daemon i have written a simple twisted server - this runs fine on . note this this runs in terminal (foreground), when i make the process run in background using & . the server does not respond to requests. what should i do to daemonize this twisted server"
10,4,8,6.2275367,3562441,Python Threading socket,"python threading socket i'm trying to implement a threading functionality for this answer : so far i have something like this: what i'm looking for, would be to open 255 thread to scan all hosts parsed with mycustomsocket() at once, for speed issues. any help would be greatly appreciated !"
10,4,9,6.267369,35847399,How do I stop py2neo watch()?,"how do i stop py2neo watch()? i run this earlier in the code subsequently, any commands that triggers http traffic will result in verbose logging. how can i stop the effect of logging without creating a new instance?"
10,4,10,6.304362,6198009,Application based on feedparser,application based on feedparser is there an application based on python library that works under ubuntu and shows scheduling and storage of feeds? thank you
10,5,1,2.3215644,8983019,Unable to install gdata python library client,unable to install gdata python library client
10,5,2,2.3640516,919056,Case insensitive replace,case insensitive replace what's the easiest way to do a case-insensitive string replacement in python?
10,5,3,2.5394697,6194736,How do I translate this to Python?,how do i translate this to python? this is ruby. what's the equivalent in python?
10,5,4,2.8495107,3887381,TypeError: 'NoneType' object is not iterable in Python,typeerror: 'nonetype' object is not iterable in python what does error mean? i am getting it on this python code:
10,5,5,2.8825135,32245625,Pandas: consolidating columns in DataFrame,pandas: consolidating columns in dataframe using the dataframe below as an example: how can i get
10,5,6,2.9026291,30907851,how to attatch scrollbar to dropdown list in tkinter?,how to attatch scrollbar to dropdown list in tkinter?
10,5,7,2.926739,15606138,Remove punctuation from a list of list of strings in python,remove punctuation from a list of list of strings in python lets say i have a i want it to produce
10,5,8,2.9326658,30677288,Threading [Python/Threading],threading [python/threading] [edit] question has been completed.
10,5,9,2.9985888,15341762,How to determine size (in bytes) of a PyTables array?,how to determine size (in bytes) of a pytables array? how can i determine the size (in bytes) of a pytables array?
10,5,10,3.0519905,2137539,How to invoke a method that has been discovered through inspect.getmembers?,how to invoke a method that has been discovered through inspect.getmembers?
10,6,1,4.1422167,2445823,"In Django, what is a one-to-one relationship?","in django, what is a one-to-one relationship? i've always been using foreignkeys."
10,6,2,4.257905,32983085,DJANGO -ImportError: No module named pagination,"django -importerror: no module named pagination i clone this fairybbs project . when runserver in console,error message appears as below:"
10,6,3,4.417338,22925096,django and mysql_config error,django and mysql_config error i tried to install mysql module with and i got this:
10,6,4,4.7797627,17633734,Django model column,django model column how i can make a model field to return a default value from function?
10,6,5,4.9355507,17907109,error during syncdb django python,error during syncdb django python i am getting an error when i am trying to do a python manage.py syncdb. the error is as shown below any idea what could be the reason?
10,6,6,5.0514994,33328656,django type object Http404 has no attribute get,django type object http404 has no attribute get i have this code: while returning the http 404 i got this :
10,6,7,5.0571723,21483003,Replacing a character in Django template,replacing a character in django template i want to change to in the my page's meta description. this is what i tried this doesn't work. it still shows as
10,6,8,5.0709596,26850164,Django Placeholders,"django placeholders i want to insert placeholders for username, password and password2 inputs which are provided by this django module ""django.contrib.auth.models.user"""
10,6,9,5.141211,38892192,what is the best pratice of nested dict for mongoengine ODM?,what is the best pratice of nested dict for mongoengine odm? i have some data like this in my mongodb: how to i modeling it with mongoengine odm?
10,6,10,5.1422114,16800375,How can set two field primary key for my models in django,how can set two field primary key for my models in django i have a model like this: i want to migration and host both together be primary key.
10,7,1,3.5108073,21615158,reshaping a data frame in pandas,reshaping a data frame in pandas is there a simple way in pandas to reshape the following data frame: to this format?:
10,7,2,4.5135493,27578027,Adding columns with django ORM,adding columns with django orm how would i do the following in the django orm: the equivalent of:
10,7,3,4.5747504,22732449,Categorical variable in Rpy2 (factor function),categorical variable in rpy2 (factor function) how can i do this in rpy2? mydata is a dataframe and rank is a varaible from 1 to 4
10,7,4,4.5953264,16822996,How to convert a pandas DataFrame into a TimeSeries?,how to convert a pandas dataframe into a timeseries? i am looking for a way to convert a dataframe to a timeseries without splitting the index and value columns. any ideas? thanks.
10,7,5,4.9956098,23444858,"Concatenate column values in Pandas DataFrame with ""NaN"" values","concatenate column values in pandas dataframe with ""nan"" values i'm trying to concatenate pandas columns with nan values. instead of 'nan' values in ""concatenated"" column, i want to get ""d"" and ""f"" respectively for this example?"
10,7,6,5.1141334,15737245,Django Formset - Check if row mark deleted,django formset - check if row mark deleted how to check if formset row is mark as deleted? thank you in advance!
10,7,7,5.1315413,32894378,Pandas - how to replace specific values in a Series?,pandas - how to replace specific values in a series? i have a dataframe with a column called such as: i am looking for the most efficient way to replace that by numerical values . thanks
10,7,8,5.1816463,37512271,Slicing timestamps by month,"slicing timestamps by month i have a series with pandas datestamps as the index, how do i slice the index so that i can get all values from a specific month?"
10,7,9,5.3216066,28066146,Get column name from a table's dataset in python,get column name from a table's dataset in python i am trying to get the columns from a table what i want is to get the column name from row_data. is there a way to do this?.
10,7,10,5.347681,20865487,Pandas (python) plot() without a legend,"pandas (python) plot() without a legend using the pandas library in python and using on a dataframe, how do i display the plot without a legend?"
10,8,1,5.0281816,35281691,scikit cosine_similarity vs pairwise_distances,"scikit cosine_similarity vs pairwise_distances what is the difference between scikit-learn's sklearn.metrics.pairwise.cosine_similarity and sklearn.metrics.pairwise.pairwise_distances(.. metric=""cosine"")? 0.37997836 0.62002164 why are these different?"
10,8,2,5.5462093,29437675,Python - binning,python - binning i'm generating a series of values and would like to bin them. i'd rather not use numpy or the like. is there something more pythonic than:
10,8,3,5.6274867,22994423,Difference between np.random.seed() and np.random.RandomState(),"difference between np.random.seed() and np.random.randomstate() i know that to seed the randomness of numpy.random, and be able to reproduce it, i should us: but what does do?"
10,8,4,5.6641946,20104874,Reindex sublevel of pandas dataframe multiindex,"reindex sublevel of pandas dataframe multiindex i have a time series dataframe and i would like to reindex it by trials and measurements. simplified, i have this: which i want to turn into this: how can i best do this?"
10,8,5,5.7766905,32118266,PyV8 Segmentation error,pyv8 segmentation error i have following piece of code. i am getting while running above code with while it is working fine with . here is the snapshot. i am using version 1.0.dev0 of pyv8
10,8,6,5.7779775,28518684,Histogram equalization of grayscale images with NumPy,histogram equalization of grayscale images with numpy how to do histogram equalization for multiple grayscaled images stored in a numpy array easily? i have the 96x96 pixel numpy data in this 4d format:
10,8,7,5.8010287,18881741,numpy array each element multiplication with matrix,"numpy array each element multiplication with matrix i have a matrix and two arrays ( and ), every array contains 20 float numbers how can i multiply the using formula: is this correct?"
10,8,8,5.8062873,12332392,Triangle wave shaped array in Python,"triangle wave shaped array in python what is the most efficient way to produce an array of 100 numbers that form the shape of the triangle wave below, with a max/min amplitude of 0.5? triangle waveform in mind:"
10,8,9,5.9267797,10302986,Stack of 2D plot,stack of 2d plot i am trying to plot stacked 2d sin(omega t) for 0 <= t <= 2 pi with different omega values as a 3d plot using python and matplotlib. any hint will be appreciated. (something like this one)
