K,cluster,rank,distance_to_centroid,question_id,title,clean_text
6,0,1,2.1226854,1983332,"i can't found '_weakref.py',where is '_weakref.py'","i can't found '_weakref.py',where is '_weakref.py' from _weakref import ( getweakrefcount, getweakrefs, ref, proxy, callableproxytype, proxytype, referencetype)"
6,0,2,2.239032,2540043,Return current 11-digit timestamp in Python,return current 11-digit timestamp in python how can i return the current time of the local machine?
6,0,3,2.2724268,122327,How do I find the location of my Python site-packages directory?,how do i find the location of my python site-packages directory? how do i find the location of my site-packages directory?
6,0,4,2.2748744,39303157,How to install flaskext.mysql with yum/centos?,"how to install flaskext.mysql with yum/centos? while running a program, i get the error importerror: no module named flaskext.mysql. how can i fix this with yum?"
6,0,5,2.3251104,6194736,How do I translate this to Python?,"how do i translate this to python? s1 = selenium::webdriver::remote.new :url => "" URL this is ruby. what's the equivalent in python?"
6,0,6,2.3798783,3498263,Python: openssl segmentation fault,python: openssl segmentation fault i followed the instrunction on this site URL to install openssl. when i go to test i get this as the output: test_rude_shutdown ... test_basic ... segmentation fault how would i resolve this?
6,0,7,2.3939984,15511400,Why does -103/100 == -2 but 103/100 == 1 in Python?,why does -103/100 == -2 but 103/100 == 1 in python? why does -103/100 == -2 but 103/100 == 1 in python? i can't seem to understand why.
6,0,8,2.4028428,27599654,"what is the meaning of this python code: <L in struct.pack(""<L"",self.src)","what is the meaning of this python code: my problem is to understand the meaning of: in this python code: self.src_address = socket.inet_ntoa(struct.pack("""
6,0,9,2.4074717,3730616,Error Importing Graphics Python,"error importing graphics python i'm typing at the console from graphics import * and i get this error traceback (most recent call last): file """", line 1, in from graphics import * importerror: no module named graphics"
6,0,10,2.4360578,2792650,"Python3 error: ""Import error: No module name urllib2""","python3 error: ""import error: no module name urllib2"" here's my code: import urllib2.request response = urllib2.urlopen("" URL html = response.read() print(html) any help?"
6,1,1,1.8296957,15675667,column matrix representation in python,"column matrix representation in python how can i represent a column matrix and row matrix in python? a =[1,2,3,4] and 1 2 3 4"
6,1,2,1.9788358,22507707,Finding largest eigenvalue in sparse matrix,finding largest eigenvalue in sparse matrix i'm using numpy and scipy. i have a large sparse matrix and i want to find the largest eigenvalue of the sparse matrix. how can i do that?
